simulation_id,policy_mode,action_id,action_name,alpha,context_dim,n_pulls,theta_json,a_json,b_json,feature_columns_json,feature_means_json,feature_scales_json,context_encoding
synthetic_seed42_cust500_rounds5000,linucb,0,no_action,0.5,6,14,"[-2.9395640053638337, 10.352996817922511, 8.392095527347346, -7.184351626043827, 1.5504064875355186, -0.9919177925182786]","[[3.8724652777777777, 2.5840277777777776, 1.5931458103572416, 1.8684484649122806, 3.026475157859754, 2.1285092395167022], [2.5840277777777776, 4.530864197530864, 2.224245568469297, 2.6927997076023398, 3.9806746427384514, 2.908137882018479], [1.5931458103572416, 2.224245568469297, 2.436504835651107, 1.6815494891708545, 2.532675531702714, 1.8179202516976316], [1.8684484649122806, 2.6927997076023398, 1.6815494891708545, 3.8892156120152355, 3.6281276237078237, 2.6517436314667275], [3.026475157859754, 3.9806746427384514, 2.532675531702714, 3.6281276237078237, 6.170509568005854, 3.6291736730108184], [2.1285092395167022, 2.908137882018479, 1.8179202516976316, 2.6517436314667275, 3.6291736730108184, 3.9334325175826623]]","[17.89627341351411, 41.91919898660962, 28.83444087218475, 11.551115307798046, 33.47106100846615, 21.78120754298496]","[""recency"", ""frequency"", ""monetary"", ""basket_diversity"", ""avg_order_size"", ""purchase_regularity""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[240.0, 18.0, 1532.39, 6.08, 100.3, 0.938]",max_scaled_observed_features
synthetic_seed42_cust500_rounds5000,linucb,1,discount_10,0.5,6,11,"[-7.94762382518295, 3.669412558297669, 0.08907628431338663, 13.028535837935166, 0.8384916867999361, 1.866830419667731]","[[3.167447916666667, 0.8527777777777777, 0.5718462662899131, 2.16101288377193, 1.9576038551013624, 1.1262393390191898], [0.8527777777777777, 2.9537037037037033, 1.2484778679056898, 2.481907894736842, 2.8438683948155536, 2.422293295427624], [0.5718462662899131, 1.2484778679056898, 1.8726634697506601, 1.6727821280895578, 1.9422709293012512, 1.5803993402393246], [2.16101288377193, 2.481907894736842, 1.6727821280895578, 5.149863118940443, 4.27351071784646, 3.271155383795309], [1.9576038551013624, 2.8438683948155536, 1.9422709293012512, 4.27351071784646, 5.7921458456137085, 3.8565550682706675], [1.1262393390191898, 2.422293295427624, 1.5803993402393246, 3.271155383795309, 3.8565550682706675, 4.479544100999723]]","[9.90521311920815, 43.41420701882857, 26.57598875678314, 68.86640352619823, 62.78382563863448, 54.29284664308728]","[""recency"", ""frequency"", ""monetary"", ""basket_diversity"", ""avg_order_size"", ""purchase_regularity""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[240.0, 18.0, 1532.39, 6.08, 100.3, 0.938]",max_scaled_observed_features
synthetic_seed42_cust500_rounds5000,linucb,2,free_shipping,0.5,6,401,"[-3.2929776903671875, 14.80932701808403, -20.763676895439563, -4.739151264062274, 18.820556636895528, 10.938871855336803]","[[71.65309027777786, 53.98750000000004, 27.901267355786295, 51.29547697368418, 78.90496385842472, 64.88777096659551], [53.98750000000004, 77.79629629629638, 38.765260656737425, 58.18220029239774, 83.51155976514895, 73.66257995735599], [27.901267355786295, 38.765260656737425, 21.107384740887536, 29.806282738247557, 42.87744108755312, 36.80028600890478], [51.29547697368418, 58.18220029239774, 29.806282738247557, 59.51714529951533, 78.31059420422932, 64.23720506957692], [78.90496385842472, 83.51155976514895, 42.87744108755312, 78.31059420422932, 118.47342681824891, 96.3452574047581], [64.88777096659551, 73.66257995735599, 36.80028600890478, 64.23720506957692, 96.3452574047581, 88.32922313501032]]","[1935.9709425805981, 2271.2071275657713, 1112.2166930124315, 1968.3071189507648, 2999.142892369738, 2588.173600097473]","[""recency"", ""frequency"", ""monetary"", ""basket_diversity"", ""avg_order_size"", ""purchase_regularity""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[240.0, 18.0, 1532.39, 6.08, 100.3, 0.938]",max_scaled_observed_features
synthetic_seed42_cust500_rounds5000,linucb,3,product_recommendation,0.5,6,2343,"[-22.05670385171435, -50.20163929755292, 74.12385145164706, 5.313124168215692, 14.929091665229265, 27.38464956782352]","[[74.52553819444428, 135.9620370370375, 94.1797261684901, 152.2578604714907, 219.87299808906582, 191.26285536602745], [135.9620370370375, 495.9475308641849, 346.22900828118173, 504.304367690059, 679.8753074110979, 621.275171760248], [94.1797261684901, 346.22900828118173, 253.2302537040136, 357.24625127638717, 480.5971951333872, 434.67369828707047], [152.2578604714907, 504.304367690059, 357.24625127638717, 605.6987940399938, 775.5364349386053, 702.2987897682652], [219.87299808906582, 679.8753074110979, 480.5971951333872, 775.5364349386053, 1061.0766245928232, 947.8559053117814], [191.26285536602745, 621.275171760248, 434.67369828707047, 702.2987897682652, 947.8559053117814, 901.0061840508067]]","[7840.794496423897, 27610.329510348587, 20288.20376740463, 31833.66923870359, 42561.31992227921, 39367.79538362202]","[""recency"", ""frequency"", ""monetary"", ""basket_diversity"", ""avg_order_size"", ""purchase_regularity""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[240.0, 18.0, 1532.39, 6.08, 100.3, 0.938]",max_scaled_observed_features
synthetic_seed42_cust500_rounds5000,linucb,4,bundle_offer,0.5,6,2231,"[-8.158084158242236, -69.77072970449588, 98.24348811172862, 61.942769063679606, -5.190425368262157, -2.1057941968054164]","[[217.97713541666562, 200.82870370370458, 136.8831833225653, 326.93463541666745, 341.3835019940188, 227.1833111229553], [200.82870370370458, 496.9783950617167, 364.33987866448285, 647.7599597953234, 664.9867176249011, 515.007285003554], [136.8831833225653, 364.33987866448285, 281.7233505925603, 466.1016573676102, 486.4828744152767, 374.83572000374943], [326.93463541666745, 647.7599597953234, 466.1016573676102, 984.3927512551945, 981.8416269284289, 740.5528069240256], [341.3835019940188, 664.9867176249011, 486.4828744152767, 981.8416269284289, 1021.8550808292956, 755.1346716779302], [227.1833111229553, 515.007285003554, 374.83572000374943, 740.5528069240256, 755.1346716779302, 611.4220486813558]]","[15658.550108432057, 35069.08011868148, 26697.76830646528, 52249.992663890815, 52536.09902747248, 39704.246293232274]","[""recency"", ""frequency"", ""monetary"", ""basket_diversity"", ""avg_order_size"", ""purchase_regularity""]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[240.0, 18.0, 1532.39, 6.08, 100.3, 0.938]",max_scaled_observed_features
